Time [s];Relative Fluorescence 650nm;Capillary Position
-4.9503;0.9981905;1
-4.9002;1.002495;1
-4.8502;0.9981208;1
-4.8002;1.000183;1
-4.7502;0.9977853;1
-4.7002;1.003026;1
-4.6502;1.00325;1
-4.6002;0.9914507;1
-4.5502;1.000308;1
-4.5002;0.9972871;1
-4.4502;0.9957117;1
-4.4002;0.9983683;1
-4.3502;0.9982569;1
-4.3002;0.9928782;1
-4.2502;1.007284;1
-4.2002;0.9986503;1
-4.1502;1.001254;1
-4.1002;1.002435;1
-4.0502;1.001773;1
-4.0002;1.002907;1
-3.9502;0.998706;1
-3.9002;0.9955906;1
-3.8502;0.9984509;1
-3.8002;0.9919662;1
-3.7502;0.9938298;1
-3.7002;1.001646;1
-3.6502;0.9967491;1
-3.6002;1.001278;1
-3.5502;1.002566;1
-3.5002;0.9912139;1
-3.4502;0.9986009;1
-3.4002;1.000042;1
-3.3502;1.005093;1
-3.3002;0.9965015;1
-3.2502;0.9963965;1
-3.2002;0.9934611;1
-3.1502;1.000468;1
-3.1001;0.994864;1
-3.0501;0.9959999;1
-3.0001;0.9947976;1
-2.9501;0.9928289;1
-2.9001;0.9948877;1
-2.8501;1.000884;1
-2.8001;0.9941139;1
-2.7501;0.994983;1
-2.7001;0.9981723;1
-2.6501;0.99896;1
-2.6001;0.9910221;1
-2.5501;0.9893052;1
-2.5001;1.001188;1
-2.4501;0.9992899;1
-2.4001;0.9959057;1
-2.3501;0.9947771;1
-2.3001;0.9981197;1
-2.2501;0.993922;1
-2.2001;0.9939927;1
-2.1501;0.9923552;1
-2.1001;0.9921291;1
-2.0501;0.9964104;1
-2.0001;0.991814;1
-1.9501;0.9911495;1
-1.9001;0.9940966;1
-1.8501;0.9937323;1
-1.8001;0.995865;1
-1.7501;0.998782;1
-1.7001;0.9927249;1
-1.6501;0.9952819;1
-1.6001;0.9898625;1
-1.5501;0.9912332;1
-1.5001;0.9938952;1
-1.4501;0.9942746;1
-1.4001;0.9897767;1
-1.3501;0.9901175;1
-1.3;0.9904401;1
-1.25;0.9899097;1
-1.2;0.9935265;1
-1.15;0.9954288;1
-1.1;0.9933186;1
-1.05;0.9909084;1
-1;0.9940003;1
-0.9499998;0.9899482;1
-0.9000001;0.9957052;1
-0.8499999;0.991501;1
-0.7999997;0.9880846;1
-0.75;0.9943721;1
-0.6999998;0.993354;1
-0.6500001;0.9872605;1
-0.5999999;0.9943827;1
-0.5499997;0.9935051;1
-0.5;0.9956495;1
-0.4499998;0.9932651;1
-0.4000001;0.9898239;1
-0.3499999;0.9916394;1
-0.2999997;0.9969109;1
-0.25;0.9914657;1
-0.1999998;0.9886569;1
-0.1500001;0.9983137;1
-0.0999999;0.9855726;1
-0.04999971;0.9957706;1
0;0.9943603;1
0.05000019;0.9782498;1
0.0999999;0.9586158;1
0.1500001;0.9507089;1
0.2000003;0.9458125;1
0.25;0.9361289;1
0.3000002;0.9358213;1
0.3499999;0.9294459;1
0.4000001;0.9256662;1
0.4500999;0.9271386;1
0.5001001;0.9229687;1
0.5500998;0.9203871;1
0.6001;0.9146129;1
0.6501002;0.9081797;1
0.7000999;0.9150888;1
0.7501001;0.9102534;1
0.8000998;0.911564;1
0.8501;0.9101151;1
0.9001002;0.9078186;1
0.9500999;0.9017153;1
1.0001;0.9067726;1
