Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9502;0.7187036;1
-4.9002;0.7212669;1
-4.8502;0.7144757;1
-4.8002;0.7199845;1
-4.7502;0.7158524;1
-4.7002;0.718528;1
-4.6502;0.7159107;1
-4.6002;0.7174493;1
-4.5502;0.7141041;1
-4.5002;0.7150221;1
-4.4502;0.7208967;1
-4.4002;0.7166865;1
-4.3502;0.7187763;1
-4.3002;0.719122;1
-4.2502;0.7213718;1
-4.2002;0.7158033;1
-4.1502;0.7186888;1
-4.1002;0.7191553;1
-4.0502;0.7161506;1
-4.0002;0.7148457;1
-3.9502;0.7142054;1
-3.9002;0.7219297;1
-3.8502;0.7141774;1
-3.8002;0.7197867;1
-3.7502;0.7198892;1
-3.7002;0.716516;1
-3.6502;0.7100827;1
-3.6002;0.716924;1
-3.5502;0.7141966;1
-3.5002;0.7166389;1
-3.4502;0.7205419;1
-3.4002;0.7174268;1
-3.3501;0.7185007;1
-3.3001;0.7142874;1
-3.2501;0.7169052;1
-3.2001;0.7164593;1
-3.1501;0.7162037;1
-3.1001;0.714519;1
-3.0501;0.7184079;1
-3.0001;0.7212855;1
-2.9501;0.7208827;1
-2.9001;0.7177851;1
-2.8501;0.7161151;1
-2.8001;0.71636;1
-2.7501;0.7163741;1
-2.7001;0.7148405;1
-2.6501;0.7193927;1
-2.6001;0.7166486;1
-2.5501;0.7173824;1
-2.5001;0.7179189;1
-2.4501;0.7129906;1
-2.4001;0.7175243;1
-2.3501;0.7137167;1
-2.3001;0.7211021;1
-2.2501;0.7152529;1
-2.2001;0.71738;1
-2.1501;0.7132876;1
-2.1001;0.7189798;1
-2.0501;0.7148765;1
-2.0001;0.7161409;1
-1.9501;0.7185624;1
-1.9001;0.7213808;1
-1.8501;0.7223666;1
-1.8001;0.7175983;1
-1.7501;0.7210307;1
-1.7001;0.7190505;1
-1.6501;0.715165;1
-1.6001;0.7166348;1
-1.55;0.7165587;1
-1.5;0.7161695;1
-1.45;0.7147818;1
-1.4;0.7190893;1
-1.35;0.7162644;1
-1.3;0.7165238;1
-1.25;0.7178603;1
-1.2;0.7152836;1
-1.15;0.715582;1
-1.1;0.7183112;1
-1.05;0.7156597;1
-1;0.719767;1
-0.9499998;0.7135834;1
-0.9000001;0.7136638;1
-0.8499999;0.7191196;1
-0.7999997;0.7188407;1
-0.75;0.7182611;1
-0.6999998;0.7201195;1
-0.6500001;0.7135648;1
-0.5999999;0.7168431;1
-0.5499997;0.7168664;1
-0.5;0.7161563;1
-0.4499998;0.7114052;1
-0.4000001;0.7168352;1
-0.3499999;0.7173247;1
-0.2999997;0.7157021;1
-0.25;0.7174334;1
-0.1999998;0.7160891;1
-0.1500001;0.7190979;1
-0.0999999;0.7177457;1
-0.04999971;0.7132143;1
0;0.7200244;1
0.05000019;0.716448;1
0.0999999;0.7171818;1
0.1500001;0.71974;1
0.2000999;0.7193843;1
0.2501001;0.7169665;1
0.3000998;0.7186232;1
0.3501;0.719658;1
0.4001002;0.7255668;1
0.4500999;0.7195383;1
0.5001001;0.7162785;1
0.5500998;0.7231328;1
0.6001;0.7164388;1
0.6501002;0.7204837;1
0.7000999;0.7233797;1
0.7501001;0.7183851;1
0.8000998;0.7251601;1
0.8501;0.7206466;1
0.9001002;0.7200624;1
0.9500999;0.7213012;1
1.0001;0.7182128;1
1.0501;0.7201461;1
1.1001;0.7226311;1
1.1501;0.7209501;1
1.2001;0.7227057;1
1.2501;0.7216601;1
1.3001;0.7220154;1
1.3501;0.7227971;1
1.4001;0.7183135;1
1.4501;0.7250316;1
1.5001;0.7199844;1
1.5501;0.7178575;1
1.6001;0.7258875;1
1.6501;0.7207728;1
1.7001;0.722042;1
1.7501;0.7238768;1
1.8001;0.7198046;1
1.8501;0.7190627;1
1.9001;0.7252145;1
1.9501;0.7243021;1
2.0002;0.7231214;1
2.0502;0.7191455;1
2.1002;0.7235702;1
2.1502;0.7251059;1
2.2002;0.7155483;1
2.2502;0.7261761;1
2.3002;0.7218794;1
2.3502;0.7206103;1
2.4002;0.7245673;1
2.4502;0.7225606;1
2.5002;0.7228184;1
2.5502;0.7201456;1
2.6002;0.719421;1
2.6502;0.7180895;1
2.7002;0.7254841;1
2.7502;0.72486;1
2.8002;0.7174836;1
2.8502;0.7203861;1
2.9002;0.7211758;1
2.9502;0.7235034;1
3.0002;0.7205405;1
3.0502;0.7247289;1
3.1002;0.718237;1
3.1502;0.7283178;1
3.200201;0.7208852;1
3.2502;0.720956;1
3.3002;0.7191795;1
3.3502;0.7206294;1
3.4002;0.7221494;1
3.450201;0.7210774;1
3.5002;0.7162553;1
3.5502;0.724338;1
3.6002;0.7231115;1
3.6502;0.7215112;1
3.700201;0.7238414;1
