Time [s];Ratio 670nm / 650nm;Capillary Position
-4.9502;0.7776062;1
-4.9002;0.7815358;1
-4.8502;0.7833352;1
-4.8002;0.7851551;1
-4.7502;0.7849658;1
-4.7002;0.7787607;1
-4.6502;0.7728879;1
-4.6002;0.7788508;1
-4.5502;0.7848268;1
-4.5002;0.7799186;1
-4.4502;0.7754319;1
-4.4002;0.778761;1
-4.3502;0.7795516;1
-4.3002;0.7743372;1
-4.2502;0.7811364;1
-4.2002;0.7782226;1
-4.1502;0.7788398;1
-4.1002;0.7764932;1
-4.0502;0.7763196;1
-4.0002;0.7792191;1
-3.9502;0.780739;1
-3.9002;0.780205;1
-3.8502;0.7786222;1
-3.8002;0.7808631;1
-3.7502;0.7778001;1
-3.7002;0.7817788;1
-3.6502;0.7794404;1
-3.6002;0.7785048;1
-3.5502;0.7771409;1
-3.5002;0.7792848;1
-3.4502;0.7724712;1
-3.4002;0.779072;1
-3.3502;0.7794448;1
-3.3002;0.7776799;1
-3.2502;0.7813879;1
-3.2002;0.782083;1
-3.1501;0.778848;1
-3.1001;0.7786661;1
-3.0501;0.7817209;1
-3.0001;0.775034;1
-2.9501;0.7779684;1
-2.9001;0.7719588;1
-2.8501;0.7760448;1
-2.8001;0.7801085;1
-2.7501;0.7744262;1
-2.7001;0.7833824;1
-2.6501;0.7725166;1
-2.6001;0.7839996;1
-2.5501;0.7815125;1
-2.5001;0.7763727;1
-2.4501;0.7792401;1
-2.4001;0.7791225;1
-2.3501;0.7792286;1
-2.3001;0.7778814;1
-2.2501;0.7781739;1
-2.2001;0.7825043;1
-2.1501;0.7795007;1
-2.1001;0.7779225;1
-2.0501;0.7793856;1
-2.0001;0.7769752;1
-1.9501;0.7745557;1
-1.9001;0.7782906;1
-1.8501;0.7778152;1
-1.8001;0.7787286;1
-1.7501;0.7824012;1
-1.7001;0.7799668;1
-1.6501;0.7798372;1
-1.6001;0.7792702;1
-1.5501;0.7797897;1
-1.5001;0.778163;1
-1.4501;0.7801558;1
-1.4001;0.7814142;1
-1.35;0.7780263;1
-1.3;0.7829925;1
-1.25;0.776227;1
-1.2;0.7767318;1
-1.15;0.7823142;1
-1.1;0.7843544;1
-1.05;0.7786683;1
-1;0.7826923;1
-0.9499998;0.7777582;1
-0.9000001;0.7799151;1
-0.8499999;0.7792752;1
-0.7999997;0.7799429;1
-0.75;0.7831813;1
-0.6999998;0.7787546;1
-0.6500001;0.7768199;1
-0.5999999;0.77685;1
-0.5499997;0.7792308;1
-0.5;0.7770258;1
-0.4499998;0.7785597;1
-0.4000001;0.7774539;1
-0.3499999;0.7775853;1
-0.2999997;0.7765479;1
-0.25;0.7827708;1
-0.1999998;0.7812704;1
-0.1500001;0.7830291;1
-0.0999999;0.7810094;1
-0.04999971;0.7775076;1
0;0.7724495;1
0.05000019;0.778732;1
0.0999999;0.774549;1
0.1500001;0.7737634;1
0.2000003;0.7798942;1
0.25;0.7753885;1
0.3000002;0.7823434;1
0.3499999;0.7730743;1
0.4001002;0.77727;1
0.4500999;0.7769261;1
0.5001001;0.7768918;1
0.5500998;0.7774345;1
0.6001;0.7767854;1
0.6501002;0.7727153;1
0.7000999;0.7730128;1
0.7501001;0.772242;1
0.8000998;0.7764534;1
0.8501;0.7781666;1
0.9001002;0.7774999;1
0.9500999;0.7716717;1
1.0001;0.7792636;1
1.0501;0.7777651;1
1.1001;0.7766594;1
1.1501;0.7762291;1
1.2001;0.7731889;1
1.2501;0.7679977;1
1.3001;0.7721822;1
1.3501;0.7687582;1
1.4001;0.7723535;1
1.4501;0.7734578;1
1.5001;0.7736053;1
1.5501;0.7744814;1
1.6001;0.7756264;1
1.6501;0.7725918;1
1.7001;0.775826;1
1.7501;0.7790558;1
1.8001;0.7648611;1
1.8501;0.7705426;1
1.9001;0.770299;1
1.9501;0.777281;1
2.0001;0.7756658;1
2.0501;0.7738461;1
2.1001;0.7722078;1
2.1501;0.7736611;1
2.2002;0.7728305;1
2.2502;0.7686433;1
2.3002;0.775767;1
2.3502;0.7797515;1
2.4002;0.7707918;1
2.4502;0.7723143;1
2.5002;0.7730594;1
2.5502;0.7720149;1
2.6002;0.7731961;1
2.6502;0.7664734;1
2.7002;0.7735923;1
2.7502;0.7685385;1
2.8002;0.7712126;1
2.8502;0.7717258;1
2.9002;0.7763371;1
2.9502;0.7731131;1
3.0002;0.7742649;1
3.0502;0.7726502;1
3.1002;0.7725214;1
3.1502;0.7737147;1
3.200201;0.7745715;1
3.2502;0.7692953;1
3.3002;0.7753993;1
3.3502;0.7712312;1
3.4002;0.7739049;1
3.450201;0.7701434;1
3.5002;0.7727768;1
3.5502;0.7723961;1
3.6002;0.7731408;1
3.6502;0.7738503;1
3.700201;0.7701553;1
3.7502;0.7789494;1
3.8002;0.773997;1
3.8502;0.7769424;1
3.9002;0.7704433;1
3.950201;0.7660037;1
4.0003;0.7737316;1
4.0503;0.7725127;1
4.1003;0.7717614;1
4.150301;0.7692833;1
4.2003;0.7728899;1
4.2503;0.7718177;1
4.3003;0.7696859;1
4.3503;0.7640747;1
4.400301;0.7727264;1
4.4503;0.7720949;1
4.5003;0.7702699;1
4.5503;0.7717235;1
4.6003;0.7694302;1
4.650301;0.7772836;1
4.7003;0.770622;1
4.7503;0.7678527;1
4.8003;0.7718754;1
4.8503;0.7676957;1
4.900301;0.7781412;1
4.9503;0.7744622;1
5.0003;0.7710277;1
5.0503;0.7665389;1
5.1003;0.7803527;1
5.150301;0.7679666;1
5.2003;0.7722564;1
5.2503;0.7677667;1
5.3003;0.775121;1
5.3503;0.7697247;1
5.400301;0.769796;1
5.4503;0.776437;1
5.5003;0.7722518;1
5.5503;0.7683825;1
5.6003;0.7758;1
5.650301;0.7715268;1
5.7003;0.7700828;1
5.7503;0.7729529;1
5.8004;0.772316;1
5.8504;0.7710027;1
