Time [s];Relative Fluorescence 670nm;Capillary Position
-4.9503;1.002365;1
-4.9002;1.00034;1
-4.8502;0.9992797;1
-4.8002;0.9975802;1
-4.7502;0.9987633;1
-4.7002;1.000979;1
-4.6502;1.000136;1
-4.6002;1.001056;1
-4.5502;0.9986446;1
-4.5002;0.9993556;1
-4.4502;1.000891;1
-4.4002;0.9971509;1
-4.3502;1.002396;1
-4.3002;1.001976;1
-4.2502;0.9984803;1
-4.2002;0.9984306;1
-4.1502;0.9944947;1
-4.1002;0.9975858;1
-4.0502;0.9978397;1
-4.0002;0.9982788;1
-3.9502;0.9988558;1
-3.9002;0.9993763;1
-3.8502;0.9974311;1
-3.8002;0.9950814;1
-3.7502;0.9964551;1
-3.7002;0.9989483;1
-3.6502;0.9984941;1
-3.6002;0.9981214;1
-3.5502;0.998646;1
-3.5002;0.9991734;1
-3.4502;0.999437;1
-3.4002;0.9963309;1
-3.3502;0.9989235;1
-3.3002;0.9977017;1
-3.2502;0.9985493;1
-3.2002;0.9963433;1
-3.1502;0.9987316;1
-3.1001;0.9981573;1
-3.0501;0.9962935;1
-3.0001;0.9962301;1
-2.9501;0.9984651;1
-2.9001;0.9944795;1
-2.8501;0.9991002;1
-2.8001;0.9978563;1
-2.7501;1.000049;1
-2.7001;0.9974201;1
-2.6501;0.9960506;1
-2.6001;0.9989235;1
-2.5501;0.9975761;1
-2.5001;0.9985728;1
-2.4501;1.001321;1
-2.4001;0.9950427;1
-2.3501;0.9942531;1
-2.3001;0.9953244;1
-2.2501;0.9935656;1
-2.2001;0.9943718;1
-2.1501;0.994155;1
-2.1001;0.9984016;1
-2.0501;0.9951449;1
-2.0001;0.9973455;1
-1.9501;0.9976783;1
-1.9001;0.9949973;1
-1.8501;0.9949061;1
-1.8001;0.9963585;1
-1.7501;0.9940902;1
-1.7001;0.9970128;1
-1.6501;0.9938541;1
-1.6001;0.9966193;1
-1.5501;0.9966456;1
-1.5001;0.9960907;1
-1.4501;0.9944009;1
-1.4001;0.9981655;1
-1.3501;0.9966635;1
-1.3;0.9952706;1
-1.25;0.9935297;1
-1.2;0.9984941;1
-1.15;0.9944478;1
-1.1;0.9955743;1
-1.05;0.9957924;1
-1;0.9994287;1
-0.9499998;0.9947556;1
-0.9000001;0.9937354;1
-0.8499999;0.9951298;1
-0.7999997;0.9935049;1
-0.75;0.9955426;1
-0.6999998;0.9931859;1
-0.6500001;0.9934013;1
-0.5999999;0.9946604;1
-0.5499997;0.9936608;1
-0.5;0.9944616;1
-0.4499998;0.9939204;1
-0.4000001;0.993647;1
-0.3499999;0.9931501;1
-0.2999997;0.9940944;1
-0.25;0.9937782;1
-0.1999998;0.9920318;1
-0.1500001;0.9909854;1
-0.0999999;0.9922955;1
-0.04999971;0.9935808;1
0;0.9946465;1
0.05000019;0.9808908;1
0.0999999;0.9574823;1
0.1500001;0.9496588;1
0.2000003;0.9413576;1
0.25;0.9360466;1
0.3000002;0.9343085;1
0.3499999;0.9300689;1
0.4000001;0.924983;1
0.4500999;0.9213315;1
0.5001001;0.9207972;1
0.5500998;0.9155953;1
0.6001;0.9150196;1
0.6501002;0.9158148;1
0.7000999;0.9096894;1
0.7501001;0.9086401;1
0.8000998;0.9097998;1
0.8501;0.9031787;1
0.9001002;0.9047083;1
0.9500999;0.8996335;1
1.0001;0.9004728;1
1.0501;0.8962939;1
1.1001;0.8965397;1
1.1501;0.8944923;1
1.2001;0.8920625;1
1.2501;0.8918665;1
1.3001;0.885632;1
1.3501;0.8855436;1
1.4001;0.8850356;1
1.4501;0.8834204;1
1.5001;0.8819211;1
1.5501;0.8862892;1
1.6001;0.8811314;1
1.6501;0.8776249;1
1.7001;0.8779451;1
1.7501;0.8765715;1
1.8001;0.8752421;1
1.8501;0.8786381;1
1.9001;0.8743806;1
1.9501;0.8720958;1
2.0001;0.8714262;1
2.0501;0.8711791;1
2.1001;0.8719646;1
2.1501;0.867192;1
2.2001;0.8672818;1
2.2502;0.8674875;1
2.3002;0.8660255;1
2.3502;0.8670582;1
2.4002;0.8630435;1
2.4502;0.8615167;1
2.5002;0.8636386;1
2.5502;0.8639105;1
2.6002;0.8606911;1
2.6502;0.8586327;1
2.7002;0.8598918;1
2.7502;0.8567441;1
2.8002;0.8573834;1
2.8502;0.8534474;1
2.9002;0.8548914;1
2.9502;0.8532969;1
3.0002;0.8541515;1
3.0502;0.8531727;1
3.1002;0.8493582;1
3.1502;0.8494355;1
3.200201;0.8511515;1
3.2502;0.8503426;1
3.3002;0.8518018;1
3.3502;0.8460629;1
3.4002;0.8471577;1
3.450201;0.8468774;1
3.5002;0.8463225;1
3.5502;0.8432286;1
3.6002;0.8447486;1
3.6502;0.8430105;1
3.700201;0.8412048;1
3.7502;0.8426985;1
3.8002;0.8397344;1
3.8502;0.8395343;1
3.9002;0.8387653;1
3.950201;0.8388716;1
4.0002;0.8386977;1
4.0503;0.84044;1
4.1003;0.8384948;1
4.150301;0.8364364;1
4.2003;0.8358703;1
4.2503;0.833112;1
4.3003;0.8344208;1
4.3503;0.8355556;1
4.400301;0.8325791;1
4.4503;0.830587;1
4.5003;0.8330624;1
4.5503;0.8312165;1
4.6003;0.8319137;1
4.650301;0.8314043;1
4.7003;0.8293514;1
4.7503;0.8293735;1
4.8003;0.8286377;1
4.8503;0.8293887;1
4.900301;0.8250165;1
4.9503;0.8277444;1
5.0003;0.8273938;1
5.0503;0.8258462;1
5.1003;0.8247943;1
5.150301;0.8246341;1
5.2003;0.8272433;1
5.2503;0.8254693;1
5.3003;0.8237478;1
5.3503;0.8223811;1
5.400301;0.821191;1
5.4503;0.8208914;1
5.5003;0.8223327;1
5.5503;0.8208058;1
5.6003;0.8218813;1
5.650301;0.8205767;1
5.7003;0.8175616;1
5.7503;0.819406;1
5.8003;0.8199596;1
5.8504;0.8181345;1
5.9004;0.8178583;1
5.9504;0.8145424;1
6.0004;0.8155901;1
6.0504;0.815564;1
6.1004;0.8154645;1
6.1504;0.8177645;1
6.2004;0.8163936;1
6.2504;0.8154355;1
6.3004;0.8141986;1
6.3504;0.8115494;1
6.4004;0.8140205;1
6.4504;0.8118848;1
6.5004;0.8102958;1
6.5504;0.8112484;1
6.6004;0.8124301;1
6.6504;0.8104794;1
6.7004;0.8119304;1
6.7504;0.8075098;1
6.8004;0.8122202;1
6.8504;0.8111752;1
6.9004;0.8080427;1
6.9504;0.807068;1
7.0004;0.80648;1
7.0504;0.808265;1
7.1004;0.8101757;1
7.1504;0.8058352;1
7.2004;0.8066553;1
7.2504;0.8083961;1
7.3004;0.8079999;1
7.3504;0.8061749;1
7.4004;0.8061942;1
7.4504;0.8089207;1
7.5004;0.8056392;1
7.5504;0.8065573;1
7.6004;0.809756;1
7.6505;0.8072214;1
7.7005;0.803295;1
7.7505;0.8006195;1
7.8005;0.8057717;1
7.8505;0.8000784;1
7.9005;0.8046921;1
7.9505;0.7993026;1
8.0005;0.8052458;1
8.050501;0.80352;1
8.1005;0.8056406;1
8.150499;0.8004429;1
8.2005;0.7999445;1
8.2505;0.802348;1
8.300501;0.8000232;1
8.3505;0.8012601;1
8.400499;0.8024433;1
8.4505;0.8021864;1
8.5005;0.7998976;1
8.550501;0.8015625;1
8.6005;0.8015431;1
8.650499;0.7984852;1
8.7005;0.7970564;1
8.7505;0.7978074;1
8.800501;0.7979938;1
8.8505;0.7981332;1
8.900499;0.79724;1
8.9505;0.7983306;1
9.0005;0.7968079;1
9.050501;0.797581;1
9.1005;0.7968438;1
9.150499;0.7959216;1
9.2005;0.7979813;1
9.2505;0.7945355;1
9.300501;0.7948379;1
9.3505;0.7957546;1
9.400499;0.7930694;1
9.4506;0.7937555;1
9.500601;0.7960265;1
9.5506;0.795876;1
9.600599;0.7936174;1
9.6506;0.7942497;1
9.7006;0.7951347;1
9.750601;0.7952147;1
9.8006;0.7931619;1
9.850599;0.7921665;1
9.9006;0.7955185;1
9.9506;0.7937927;1
10.0006;0.7915977;1
10.0006;0.7915977;1
-4.9503;1.000155;9
-4.9003;1.000902;9
-4.8503;0.997994;9
-4.8003;0.9996657;9
-4.7503;1.000111;9
-4.7003;1.000985;9
-4.6503;1.000104;9
-4.6003;0.9995992;9
-4.5503;1.002334;9
-4.5003;1.000612;9
-4.4503;0.9985232;9
-4.4003;0.998037;9
-4.3503;0.9989334;9
-4.3003;1.000286;9
-4.2503;0.9989207;9
-4.2003;0.9963048;9
-4.1503;1.000659;9
-4.1003;0.9973242;9
-4.0503;0.9965441;9
-4.0003;0.9995973;9
-3.9503;0.9986638;9
-3.9003;0.9965177;9
-3.8503;0.9958723;9
